DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
03/02/1990,-0.007453221,-0.001084639,-0.002572478,0.009218092,-0.010563678,0.000416037,-0.010786413,-0.002266024,-0.002740964,-0.00321806,-0.006676946,,-0.004430187,0.005136448,,0.005048967,0.007273386,-0.006526087,0.006028474,-0.033727331,,0.002923544,-0.000792518,-0.000541085,0.002156433,0.003482305,-0.003760065,-3.42294E-05,0.006558787
03/05/1990,-0.005925729,-0.007044105,-0.000278982,0.005153692,-0.002647324,-0.0075688,0.005184784,-0.001510379,-0.018502706,0.004231103,-0.000360252,,0.014595271,-0.04897869,,0.000409505,0.003576104,0.009313899,-0.024079136,-0.002085002,,-0.003934897,0.006548034,0.002454209,0.00217453,0.002037615,-0.001253175,0.002595707,0.003399221
03/06/1990,-0.000215531,-0.001539167,-0.000496786,0.000548519,0.004060856,-0.000196079,0.007836816,-0.005635089,-0.010336038,0.004528655,-0.00240853,,-0.001952501,0.003810202,,-0.000250614,-0.002345691,-0.002227249,-0.014907305,0.034863417,,0.003550599,0.003064858,-0.003783772,-0.002359332,-0.001661715,-0.000771731,-0.003556109,-0.002151635
03/07/1990,-0.000455192,-0.0155322,0.000156291,0.007212353,-0.001307804,-0.006468957,0.005733165,-9.11987E-05,-0.058326724,-0.005669716,-0.002045517,,0.002656763,0.016357436,,0.00208987,-0.000793655,0.006501194,-0.009926534,-0.022879854,,-0.007210924,0.008704586,-0.000532115,-0.000977396,-0.001195008,-0.002746372,-0.000123464,-0.000837327
03/08/1990,-0.009661784,-0.014384134,-0.006939987,0.002859328,-0.006752149,-0.003547338,0.002646261,0.001799517,0.034406239,-0.006942645,-0.007805472,,0.002916785,-0.013515819,,-0.0005359,0.003484585,-0.002984458,-0.00224126,-0.005106256,,-0.000522811,0.013959662,-0.000882468,0.00014089,0.000641345,-0.004947018,-0.000683577,0.003063659
03/09/1990,-0.017362474,0.011206795,-0.007305521,0.002142694,0.001637764,0.001640786,0.003896603,0.002204692,0.001594842,-6.99944E-05,0.000569274,,-0.000740597,-0.062225233,,-0.003298305,-0.000864097,0.004191732,-0.004398586,-0.003747164,,0.003974043,-0.001399741,0.001955261,0.000177736,-0.000690208,0.000357061,0.001965259,-0.001273309
03/12/1990,0.016894427,0.00523803,-0.005813683,0.000599608,-0.00094897,0.002860153,-0.006126522,-0.008759712,0.001601449,0.007861845,-0.003566825,,-0.010062205,0.029284655,,0.001133755,-0.000136292,0.003110172,0.007444205,0.008883513,,-0.001214694,0.003518691,0.001171431,0.00050206,0.000174349,0.000124783,0.001140923,0.000179039
03/13/1990,-0.011713215,-0.000659012,0.006581649,0.001385192,0.001296787,-0.004351865,0.002981409,-0.003848948,-0.013202361,-0.003854469,-0.004634782,,0.0001525,-4.44727E-05,,-0.009325328,-0.000865328,-0.000751328,-0.008339804,-0.005712889,,-0.004199185,0.004718539,0.001493011,-0.000785412,-0.001901994,-0.00381473,0.001487262,-0.001182369
03/14/1990,-0.002782529,-0.030233511,0.008855477,0.002912629,0.000647176,0.000379922,-0.005135457,-0.000280179,0.005348112,0.002084977,-0.005722488,,-0.005535718,-0.009995838,,-0.00061589,-0.003457928,0.005924956,0.00477833,-0.012150821,,0.000734028,-0.008499016,-0.00326591,-0.002970934,-0.002825885,-0.001946979,-0.002936486,-0.003453849
03/15/1990,-0.000271657,-0.015129203,0.002158474,-0.002718321,-0.007254908,0.006488239,-0.004037402,-0.002035271,0.015741745,-0.001378675,-0.003815279,,0.003042563,-0.001440578,,-0.001151488,-0.005638285,-0.001614519,0.008974889,0.001229648,,0.004659919,-0.015387676,0.001793882,-0.002096002,-0.004007948,-0.001311875,0.001551892,-0.00526467
03/16/1990,-0.004829446,0.014492477,0.002669047,-0.007096711,-0.003301463,0.003230253,-0.003175208,-0.006456761,0.004282942,0.008033774,-0.00708985,,0.001974829,-0.054822553,,-0.003666984,-0.00247934,-0.012314487,-0.025205275,0.00761713,,-0.006684564,0.002077821,-0.000809764,-0.002095427,-0.002731034,-0.002862524,-0.001145496,-0.00249074
03/19/1990,-0.00208575,-0.045976108,0.00787286,0.00320473,0.01749775,-0.004117792,0.005290027,0.00730175,-0.025456793,0.007192225,0.006262487,,-0.003160743,-2.5763E-05,,-0.009476948,-0.005361823,0.001473037,0.026398739,0.003977933,,-0.000430191,0.025092927,-0.003246152,-0.002613154,-0.00229961,0.003619682,-0.002903718,-0.005178573
03/20/1990,0.013842783,0.02204038,-0.010170504,-0.001156001,0.00917162,0.006084467,-0.004184593,0.003943753,0.024594684,-0.00095432,-0.00599584,,2.8096E-05,0.056773398,,0.000433554,-0.01007424,-0.008186407,0.013515106,-0.003213339,,-0.00361323,-0.022392825,0.004128801,-0.002985923,-0.006506732,-0.001020243,0.003846547,-0.009209075
03/21/1990,-0.006081648,0.006061261,-0.008959671,0.001619075,-0.00444085,-0.009010186,-0.003288304,-0.007013911,-0.013552664,-0.001821956,0.002108193,,-0.005865313,0.035626467,,0.003750665,-9.53535E-06,-0.006853986,-0.003817072,0.010179733,,0.007931592,-0.002792218,-3.96861E-05,-0.000452632,-0.00065917,-0.001934643,4.84645E-05,-0.000173833
03/22/1990,0.0080697,-0.002108709,0.006194877,-0.002224528,0.001338247,-0.006123651,-0.002207512,0.001437967,-0.00989301,0.002384999,-0.004217226,,-0.000555368,0.00885123,,0.001980783,-0.015472129,-0.005223397,-0.033674039,-0.008234101,,-0.003503473,0.002741461,0.00406528,-0.005712371,-0.010605774,-0.00285548,0.003730499,-0.014483644
03/23/1990,0.00486802,0.015859582,-0.00922704,0.000967094,-0.002502939,0.007631011,0.002307551,-0.01323968,0.019504765,-0.011444316,-0.006704801,,-0.013517511,-0.001883041,,-0.000785953,-0.010667767,0.002297226,-0.016639908,-0.007935816,,-0.002472114,0.003088043,-0.003032644,-0.006216635,-0.007833742,-0.003512107,-0.002821017,-0.010197702
03/26/1990,-0.001436723,-0.011919567,0.00827861,0.008541627,0.011709263,-0.010136891,-0.003929586,-0.013857617,0.006077328,-0.006083349,-0.002986286,,-0.006805287,-1.47178E-05,,-0.000981657,-0.017430101,0.003269478,0.006716975,0.00912616,,0.006720436,-0.006776269,-0.006400086,-0.010066202,-0.011937182,-0.003907582,-0.005606515,-0.016540186
03/27/1990,-0.000426139,0.017322769,-0.010956164,-0.002321565,-0.010009295,0.004124048,0.004638451,-7.59339E-05,0.023644517,0.003454037,0.007282449,,-0.002321837,-0.002468867,,0.003581409,0.006306453,-0.003237927,0.008057574,-0.007684791,,-0.001536952,0.009522143,9.3609E-05,0.003399037,0.005095392,0.004129813,-3.6488E-05,0.005876448
03/28/1990,-0.003580529,-0.012849333,0.009799951,-0.001022829,0.006163692,-0.002157008,0.002716312,-0.008467688,0.003028392,0.002634664,-0.003817182,,-0.00306691,0.016205977,,-0.003796371,0.023112771,0.013479217,0.02183271,-0.045821493,,0.014852769,0.005006064,0.004085949,0.010753982,0.014159011,-0.000556398,0.003811386,0.021717768
03/29/1990,0.01025066,-0.052890776,0.008095962,0.002020108,-0.006886616,-0.004238163,0.002756757,-0.00898436,-0.002448238,0.007983686,0.001049821,,1.98592E-05,0.006079072,,0.000958629,0.015212988,0.00282357,0.011703657,0.003951025,,0.000270835,-0.003256502,0.000588869,0.006726523,0.009829593,-5.00077E-05,0.000665418,0.014691367
